type|question|answer|attachment
buildingentrance|Кто проверяте докумены, пропускает в суд?|"Судебные приставы. Приставы проверяют документы у посетителей суда, записывают их данные, спрашивают цель посещения – номер зала или фамилию судьи, к которому вы идете, иногда уточняют статус, в котором вы пришли в суд: участник процесса, журналист, слушатель. Также они просят пройти через рамку металлодетектора, установленную на входе в здание, и досматривают личные вещи на наличие запрещенных к проносу предметов.
Судебные приставы не являются сотрудниками суда, однако они выполняют распоряжения председателя суда и судей. Законные требования приставов обязательны для присутствующих в суде."|
buildingentrance|Дресс-код в суде|Требования к внешнему виду посетителей обычно содержатся в правилах пребывания в конкретном суде. Они могут содержать запрет на посещение суда в состоянии опьянения, в виде, не отвечающем санитарно-гигиеническим требованиям, в агрессивном состоянии. Как показывает практика, в суды не пускают посетителей в чрезмерно открытой летней одежде (майки, шорты).|
buildingentrance|Какие предметы нельзя брать в суд?|При наличии запрещенных предметов (оружие, взрывчатые вещества, наркотики) приставы имеют право не пустить в здание суда. Часто запрещают проносить острые и колющие предметы (ножи, маникюрные ножницы, пилочки), баллончики, крупные предметы, например, самокаты, иногда запрещают проносить с собой воду. Перечень запрещенных к проносу предметов содержится в правилах пребывания в конкретном суде, он не является исчерпывающим – приставы могут толковать опасность предметов достаточно расширительно. В некоторых судах на входе в здание есть ячейки для хранения, где можно оставить вещи.|
buildingentrance|Что делать, если приставы не пускают в суд?|Прежде всего не создавайте конфликтную ситуацию, помните, что за невыполнение законных требований пристава можно понести ответственность. Выясните причину, по которой приставы отказываются пустить в здание. Можно позвонить в приемную или секретарю судьи, на заседание которого вы направляетесь, обращение к сотрудникам суда может разрешить ситуацию необоснованного недопуска. Если же приставы не называют причину недопуска или ограничивают законное право присутствовать в суде – пускают на процесс только журналистов или родственников – то следует зафиксировать фамилию, номер нагрудного жетона сотрудника, при возможности –  записать на видео факт недопуска, и подать жалобу начальнику структурного подразделения службы судебных приставов, приложив видеозапись. Это можно сделать заказным письмом или через интернет-приемную сайта службы судебных приставов.|
buildingentrance|Нужно ли приходить на судебное заседание заранее?|На входе в здание суда бывает очередь из желающих попасть, приставы проводят досмотр, рассмотрение дела может быть перенесено из одного зала в другой или даже начаться раньше указанного в расписании времени. Спрогнозировать заранее, сколько именно времени займет процедура досмотра и поиск нужного зала, сложно, поэтому лучше приходить в суд хотя бы за 15 минут до начала заседания.|
buildingentrance|Можно ли приносить фото- и видеотехнику?|Для проноса фото- и видеотехники в здание суда, как правило, необходимо разрешение председателя суда, поэтому требуется заранее подать заявку. Обычно такая информация размещена на сайте суда в разделе «Пресс-служба», а также содержится в правилах пребывания посетителей.  |
buildingentrance|Можно ли снимать в здании суда и публиковать фото и видео?|"Снимать в здании и общедоступных помещениях суда можно без разрешения, спрашивать разрешение у судьи необходимо только в судебном заседании. К местам общего доступа относятся коридоры, лестницы, помещения с информационными киосками и стендами, прилегающие к суду территории.
Изображение человека можно публиковать без его согласия в случае, если оно – не главное на фотографии (общее фото происходящего в коридоре судебного заседания или на входе в суд), а также в общественно-значимых целях (если в центре изображения – публичный человек).
Ответственности за фото- и видеосъемку в здании суда нет, однако установлена ответственность за неисполнение законного распоряжения судебного пристава, например, требования прекратить фото- или видеосъемку."|
roomentrance|Мне не хватило места в зале суда|"Если заседание еще не началось, а желающих на нем присутствовать много и не все могут поместиться в зале – следует обратиться к секретарю судьи с просьбой обеспечить дополнительные места или перенести заседание в более просторное помещение суда, или – организовать трансляцию из зала.
Если слушание уже началось, можно направить обращение об обеспечении гласности на имя председателя суда – по почте, через судебную канцелярию, или через форму “Обращения граждан” на сайте суда. 
Намеренное создание условий, ограничивающих или исключающих доступ публики, свидетельствует о нарушении судьей профессиональной этики. К сожалению, в российской практике суд редко принимает во внимание общественную значимость дела и предпринимает меры для обеспечения условий присутствия публики. "|
roomentrance|Могут ли участники запретить мне присутстовать на заседании?|Лица, участвующие в деле, могут заявить ходатайство о проведении закрытого судебного разбирательства в целях сохранения тайны, например, медицинской или семейной тайны. Решение по заявленному ходатайству принимает судья с учетом мнения сторон и в случае удовлетворения выносит определение о закрытии части или всего процесса – до этого момента публика имеет право находиться в зале. Само по себе желание кого-либо из участников процесса или их родственников, чтобы в зале не было слушателей, не является запретом на присутствие в заседании. Если процесс открытый, в него могут попасть все желающие.|
roomentrance|Кто первым заходит в зал суда?|Порядок входа в зал судебного заседания не регламентирован. Все лица, не являющиеся участниками процесса, равны в своих правах, как слушатели заседания, и ни у кого нет приоритетного права на вход в зал. На практике секретарь или помощник судьи обычно проверяет явку сторон процесса и приглашает их пройти в зал первыми. Часто сначала в зал пропускают родственников и журналистов, так как на последних лежит обязанность о донесении информации до широкого круга лиц. |
roomentrance|Меня не пускают в зал заседания|"Нужно выяснить причину, по которой сотрудники суда или приставы отказываются пустить в зал – чаще всего это связано с указанием судьи, рассматривающего дело. 
Если причину недопуска не называют, или ограничивают законное право присутствовать в зале – пускают на процесс только журналистов, или родственников, например – следует выяснить фамилию сотрудника, по возможности – зафиксировать на видео факт недопуска и подать жалобу председателю суда. Это можно сделать по почте, через судебную канцелярию, или через форму “Обращения граждан” на сайте суда. Также можно обратиться в Квалификационную коллегию судей."|
roomentrance|Обязан ли я предоставлять паспорт сотруднику суда?|Обязанности предъявлять документы и передавать паспорт секретарю или помощнику судьи у слушателей нет – стоит уточнить причину в ответ на требование предъявить паспорт. Чаще всего секретари и помощники судей объясняют это необходимостью убедиться, что вы не являетесь свидетелем по данному делу – присутствие свидетелей в зале до начала допроса недопустимо. Зачастую паспорт просят у всех пришедших, иногда вносят данные документа в протокол заседания или даже копируют его. Эти действия незаконны, и мы рекомендуем в таком случае подать жалобу на действия сотрудников суда. Это можно сделать по почте, через судебную канцелярию, или через форму “Обращения граждан” на сайте суда. |
roomentrance|Когда процесс закрывают (делают непубличным)?|"В уголовном процессе всегда закрыты предварительные заседания по делу, в гражданском и административном процессах они для публики открыты.
В некоторых случаях суд может удалить слушателей с заседания или его части – когда обсуждается частная жизнь кого-либо из участников процесса или разглашается, какая-либо охраняемая законом тайна. Лица, участвующие в деле, могут заявить ходатайство о проведении закрытого судебного разбирательства – решение по такому ходатайству принимает судья с учетом мнения сторон. Процесс также может быть полностью закрыт для публики и проходить в закрытом режиме, однако оглашение приговора всегда проходит в открытом судебном заседании.
Перед закрытием части заседания или всего процесса судья выносит соответствующее постановление, до этого момента публика имеет право находиться в зале. "|
roomentrance|Должны ли меня пригласить в зал суда?|Секретари и помощники судей проверяют явку участников процесса и, как правило, приглашают в зал только их. Иногда они сообщают слушателям, что в зал заседаний можно пройти, но это ничем не регламентировано – поэтому стоит быть внимательными на входе в зал и уточнить, можно ли войти, когда станет понятно, что слушание вскоре начнется. |
roomentrance|Может ли заседание начаться не вовремя?|Заседание могут начать позже из-за задержки предыдущих слушаний у судьи. Зачастую заседания по уголовным делам начинаются с задержкой из-за доставления подсудимых. Иногда задержка может составлять несколько часов. Но бывали случаи, когда заседание начинали раньше – это еще одна причина, почему важно приходить заранее.|
roomentrance|Можно ли зайти в засл после начала заседания?|Такая возможность не регламентирована. Можно попробовать пройти в зал, если вы опоздали к началу заседания, однако судья может расценить это как нарушение порядка и удалить из зала.|
roomentrance|Могут ли суды проходить в нерабочее время?|Заседания могут проходить в нерабочее, вечернее или ночное, время, в выходные и праздничные дни. Как правило, заседания в это время проходят в тех случаях, когда касаются избрания меры пресечения, ареста, в том числе после задержаний на массовых мероприятиях. |
roomentrance|Можно ли присутствовать на заседании в нерабочее время?|В нерабочее время в суде можно присутствовать по решению председателя. Как показывает практика, слушателей в таких случаях пускают редко. Можно подать обращение по почте, через судебную канцелярию, или через форму “Обращения граждан” на сайте суда.|
roomentrance| Меня могут удалить из коридора суда?|В старых зданиях судов обычно нет отдельного входа для конвоируемых, и сотрудники суда или приставы могут попросить отойти от зала или выйти из коридора на лестничную площадку.|
incourt|Как устроен зал суда?|PIC|
incourt|Почему меня спрашивают, не свидетель ли я?|В суды редко приходят слушатели, не участвующие в деле, и сотрудники суда не привыкли к вниманию публики. Чаще всего помимо участников процесса секретари сталкиваются со свидетелями, и обычно хотят убедиться, что свидетели не будут присутствовать в зале до начала допроса, так как это может повлиять на их показания. |
incourt|Можно ли пользоваться телефоном в зале суда?|В России нет запрета на использование мобильных телефонов в зале суда. Можно им пользоваться в беззвучном режиме, делать заметки в электронном виде, вести аудиозапись. Фото- / видеосъемку можно вести только с разрешения судьи – о возможности снимать стоит спросить секретаря до того, как судья придет в зал и начнет заседание. Также можно попросить кого-либо из участников процесса ходатайствовать о ведении съемки – так как обращаться к судье могут только лица, участвующие в деле. Иногда судья в начале заседания говорит, можно ли снимать, особенно если в зале есть журналисты или пришло много слушателей.|
incourt|Какие права есть у слушателя?|Слушатели имеют право только присутствовать в открытом судебном заседании, вести аудиозапись и письменные записи без разрешения судьи. Разговаривать с участниками процесса, обращаться к суду, ходатайствовать о чем-либо могут только участники дела.|
incourt|Можно ли снимать фото и видео в зале суда?|"В отличие от здания суда фото- / видеосъемку в судебном заседании можно вести только с разрешения судьи. Судебное заседание начинается с момента входа судьи в зал, таким образом, до того, как судья вошел в зал, вы можете снимать. О возможности снимать в судебном заседании стоит спросить секретаря до того, как судья придет в зал и начнет заседание. Также можно попросить кого-либо из участников процесса ходатайствовать о ведении съемки – так как обращаться к судье могут только лица, участвующие в деле. 
Судья может в начале заседания сказать, что все присутствующие могут вести съемку, или предупредить, в какие моменты она будет разрешена (например, при вынесении приговора) и чем ограничена (могут запретить снимать судью и государственного обвинителя)."|
incourt|Можно ли публиковать фото и видео в зале суда?|"Изображение человека можно публиковать без его согласия в случае, если оно – не главное на фотографии (общее фото происходящего), а также в общественно-значимых целях (если в центре изображения – публичный человек).
Следует избегать публикации портретных фотографий, чтобы избежать претензий о нарушении права на изображение."|
incourt|Что будет за нарушение порядка?|"Нарушением порядка в зале суда могут быть шум, звук мобильного телефона, вход в зал после начала слушания, проявление неуважения к суду, хождение по залу, оскорбление кого-либо из присутствующих. Судья может вынести предупреждение о недопустимости нарушения, затем – удалить из зала, если его требование не выполняют, попросить судебных приставов удалить посетителей. В уголовных процессах судья может удалить слушателей без предварительного предупреждения, не всегда так происходит, но стоит иметь это в виду. 
За нарушение могут составить протокол о привлечении к административной ответственности и наложить штраф, или административный арест до 15 суток. Размер штрафа зависит от процесса: в гражданском процессе до 1000 руб.; в арбитражном процессе для граждан — до 2500 руб., для организаций — до 100 000 руб.; в уголовном — до 2500 руб. Если судья решит, что в действиях лица есть признаки преступления, он может направить материалы в правоохранительные органы для возбуждения уголовного дела."|
incourt|Меня удаляют из зала, что делать?|"Следует избегать конфликта с сотрудниками суда и приставами, уточнить причину и выйти из зала. Попросить слушателей уйти могут в нескольких ситуациях: если это предварительное заседание по уголовному делу, если будут оглашать сведения, содержащие какую-либо личную или государственную тайну, если суд закрыл процесс от публики (после вынесения соответствующего определения). 
Если вы считаете ваше удаление незаконным, можно подать жалобу на имя председателя суда – по почте, через судебную канцелярию, или через форму “Обращения граждан” на сайте суда. 
Если дело полностью закрыто, приговор тем не менее всегда оглашается публично."|
incourt|Можно ли публиковать услышанное в заседание?|"Любой человек вправе свободно распространять любые оглашенные в открытом судебном заседании данные. Предупредить о том, что какие-то данные не нужно публиковать, должен суд.  Мы рекомендуем: 
– воздержаться от публикации адресов участников процесса, медицинской  информации;
– уважать презумпцию невиновности и не называть подсудимого преступником до вынесения приговора, так как до вступления приговора в силу человек невиновен."|
incourt|Можно ли слушателю получить решение суда?|"Тексты решений публикуются в карточке дела на сайте суда через месяц после вступления его в силу. Не публикуются приговоры по уголовным делам экстремистской направленности, по делам с участием несовершеннолетних. Опубликованные решения обезличиваются: исключаются личные данные свидетелей и потерпевших. Все остальные сведения, не являющиеся персональными данными, в тексте должны оставаться.
Не публикуются решения о безопасности государства, о преступлениях против половой неприкосновенности, по семейным делам, об ограничении дееспособности, о признании недееспособным, о принудительной госпитализации и принудительном психиатрическом освидетельствовании, о внесении исправлений или изменений в запись актов гражданского состояния, об установлении фактов, имеющих юридическое значение, рассматриваемых судами общей юрисдикции. 
Если текста решения нет на сайте суда, можно направить запрос о выдаче копии решения или публикации текста на сайте – документ, как показывает практика, не предоставляют, но публикуют решение на сайте.
Если вы участник дела, то сможете забрать текст решения в канцелярии суда."|
